n_qubits,depth,shots,noise,acc_mean,runtime_sec,improvement_over_classical
2,1,0,False,0.8137115839243498,0.0482418537139892,-0.18250591016548456
2,1,1024,False,0.8085106382978723,0.0253407955169677,-0.1877068557919621
2,2,0,False,0.8094562647754137,0.0512571334838867,-0.18676122931442074
2,2,1024,False,0.8080378250591016,0.0286145210266113,-0.1881796690307328
3,1,0,False,0.9153664302600472,0.0419905185699462,-0.08085106382978724
3,1,1024,False,0.915839243498818,0.0301105976104736,-0.08037825059101644
3,2,0,False,0.8614657210401891,0.0445756912231445,-0.13475177304964525
3,2,1024,False,0.8628841607565012,0.0527272224426269,-0.1333333333333332
4,1,0,False,0.8524822695035461,0.0563836097717285,-0.1437352245862883
4,1,1024,False,0.8520094562647754,0.0484025478363037,-0.14420803782505898
4,2,0,False,0.7026004728132388,0.0471224784851074,-0.2936170212765956
4,2,1024,False,0.699290780141844,0.1139726638793945,-0.2969267139479904
