n_qubits,depth,shots,noise,accuracy,runtime_sec
2,1,analytic,False,0.8988179669030733,"(0.03390336036682129, 3)"
2,1,1024,False,0.8983451536643026,"(0.01916217803955078, 3)"
2,2,analytic,False,0.775886524822695,"(0.0189206600189209, 3)"
2,2,1024,False,0.7763593380614657,"(0.018720388412475586, 3)"
3,1,analytic,False,0.9219858156028369,"(0.016273021697998047, 3)"
3,1,1024,False,0.9234042553191489,"(0.06272387504577637, 3)"
3,2,analytic,False,0.7891252955082743,"(0.06689143180847168, 3)"
3,2,1024,False,0.789598108747045,"(0.033426761627197266, 3)"
4,1,analytic,False,0.9300236406619385,"(0.03475379943847656, 3)"
4,1,1024,False,0.9319148936170213,"(0.08835029602050781, 3)"
4,2,analytic,False,0.8657210401891253,"(0.05024242401123047, 3)"
4,2,1024,False,0.8676122931442081,"(0.04913043975830078, 3)"
