n_qubits,depth,shots,noise,accuracy,runtime_sec
2,1,analytic,False,0.8964539007092198,"(1.6030173301696777, 3)"
2,1,1024,False,0.8973995271867612,"(1.5333571434020996, 3)"
2,2,analytic,False,0.791016548463357,"(3.0542070865631104, 3)"
2,2,1024,False,0.7862884160756501,"(2.693324327468872, 3)"
3,1,analytic,False,0.9252955082742317,"(0.8607258796691895, 3)"
3,1,1024,False,0.926241134751773,"(1.6222293376922607, 3)"
3,2,analytic,False,0.7957446808510639,"(3.0755486488342285, 3)"
3,2,1024,False,0.7981087470449173,"(3.232548475265503, 3)"
4,1,analytic,False,0.9356973995271868,"(0.8139865398406982, 3)"
4,1,1024,False,0.9328605200945627,"(1.7614750862121582, 3)"
4,2,analytic,False,0.8770685579196218,"(2.5508670806884766, 3)"
4,2,1024,False,0.8723404255319149,"(2.55521821975708, 3)"
