n_qubits,depth,shots,noise,accuracy,runtime_sec
2,1,analytic,False,0.5366430260047281,273.62
2,1,1024,False,0.5366430260047281,215.73
2,2,analytic,False,0.5366430260047281,203.74
2,2,1024,False,0.5366430260047281,249.31
3,1,analytic,False,0.5366430260047281,238.93
3,1,1024,False,0.5366430260047281,1169.81
3,2,analytic,False,0.5366430260047281,174.99
3,2,1024,False,0.5366430260047281,261.66
4,1,analytic,False,0.5366430260047281,182.98
4,1,1024,False,0.5366430260047281,226.89
4,2,analytic,False,0.5366430260047281,337.44
4,2,1024,False,0.5366430260047281,283.55
